country,n_rows,date_min,date_max,n_columns,n_missing_cols,missing_cols,missing_vals
Afghanistan,1674,2020-01-05,2024-08-04,67,43,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 4, ]"
Africa,1674,2020-01-05,2024-08-04,67,55,"continent, new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million","[, 1, 6, 7, 4,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5, ]"
Albania,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 9, ]"
Algeria,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 7, ]"
American Samoa,1674,2020-01-05,2024-08-04,67,51,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Andorra,1674,2020-01-05,2024-08-04,67,47,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 8, ]"
Angola,1674,2020-01-05,2024-08-04,67,44,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 3, 8, ]"
Anguilla,1674,2020-01-05,2024-08-04,67,53,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Antigua and Barbuda,1674,2020-01-05,2024-08-04,67,44,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 8, 4, 7, ]"
Argentina,1678,2020-01-01,2024-08-04,67,49,"total_cases, new_cases, new_cases_smoothed, total_deaths, new_deaths","[, 4,  , 4,  , 9,  , 4,  , 4, ]"
Armenia,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 5, ]"
Aruba,1674,2020-01-05,2024-08-04,67,47,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Asia,1684,2020-01-05,2024-08-14,67,63,"continent, total_cases, new_cases, new_cases_smoothed, total_deaths","[, 1, 6, 8, 4,  ,  ,  , 1, 0,  ,  ,  , 1, 0,  ,  ,  , 1, 5,  ,  ,  , 1, 0, ]"
Australia,1674,2020-01-05,2024-08-04,67,43,"new_cases_smoothed, new_deaths, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_per_million","[, 5,  , 1,  , 6,  , 5,  , 1, ]"
Austria,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 4, 6, ]"
Azerbaijan,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 2, ]"
Bahamas,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 2, 0, ]"
Bahrain,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 4, 6, ]"
Bangladesh,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 7, 3, ]"
