,0
total_cases,4
new_cases,4
new_cases_smoothed,9
total_deaths,4
new_deaths,4
new_deaths_smoothed,9
total_cases_per_million,4
new_cases_per_million,4
new_cases_smoothed_per_million,9
total_deaths_per_million,4
new_deaths_per_million,4
new_deaths_smoothed_per_million,9
reproduction_rate,660
icu_patients,1031
icu_patients_per_million,1031
hosp_patients,1678
hosp_patients_per_million,1678
weekly_icu_admissions,1678
weekly_icu_admissions_per_million,1678
weekly_hosp_admissions,1678
weekly_hosp_admissions_per_million,1678
total_tests,808
new_tests,808
total_tests_per_thousand,808
new_tests_per_thousand,808
new_tests_smoothed,799
new_tests_smoothed_per_thousand,799
positive_rate,814
tests_per_case,814
tests_units,792
total_vaccinations,553
people_vaccinated,553
people_fully_vaccinated,553
total_boosters,553
new_vaccinations,554
new_vaccinations_smoothed,554
total_vaccinations_per_hundred,553
people_vaccinated_per_hundred,553
people_fully_vaccinated_per_hundred,553
total_boosters_per_hundred,553
new_vaccinations_smoothed_per_million,554
new_people_vaccinated_smoothed,554
new_people_vaccinated_smoothed_per_hundred,554
stringency_index,582
handwashing_facilities,1678
excess_mortality_cumulative_absolute,1642
excess_mortality_cumulative,1642
excess_mortality,1642
excess_mortality_cumulative_per_million,1642
