,0
continent,1684
total_cases,10
new_cases,10
new_cases_smoothed,15
total_deaths,10
new_deaths,10
new_deaths_smoothed,15
total_cases_per_million,10
new_cases_per_million,10
new_cases_smoothed_per_million,15
total_deaths_per_million,10
new_deaths_per_million,10
new_deaths_smoothed_per_million,15
reproduction_rate,1684
icu_patients,1684
icu_patients_per_million,1684
hosp_patients,1684
hosp_patients_per_million,1684
weekly_icu_admissions,1684
weekly_icu_admissions_per_million,1684
weekly_hosp_admissions,1684
weekly_hosp_admissions_per_million,1684
total_tests,1684
new_tests,1684
total_tests_per_thousand,1684
new_tests_per_thousand,1684
new_tests_smoothed,1684
new_tests_smoothed_per_thousand,1684
positive_rate,1684
tests_per_case,1684
tests_units,1684
total_vaccinations,345
people_vaccinated,345
people_fully_vaccinated,349
total_boosters,418
new_vaccinations,351
new_vaccinations_smoothed,351
total_vaccinations_per_hundred,345
people_vaccinated_per_hundred,345
people_fully_vaccinated_per_hundred,349
total_boosters_per_hundred,418
new_vaccinations_smoothed_per_million,351
new_people_vaccinated_smoothed,351
new_people_vaccinated_smoothed_per_hundred,351
stringency_index,1684
population_density,1684
median_age,1684
aged_65_older,1684
aged_70_older,1684
gdp_per_capita,1684
extreme_poverty,1684
cardiovasc_death_rate,1684
diabetes_prevalence,1684
female_smokers,1684
male_smokers,1684
handwashing_facilities,1684
hospital_beds_per_thousand,1684
life_expectancy,1684
human_development_index,1684
excess_mortality_cumulative_absolute,1684
excess_mortality_cumulative,1684
excess_mortality,1684
excess_mortality_cumulative_per_million,1684
