,0
new_cases_smoothed,5
new_deaths,1
new_deaths_smoothed,6
new_cases_smoothed_per_million,5
new_deaths_per_million,1
new_deaths_smoothed_per_million,6
reproduction_rate,646
icu_patients,327
icu_patients_per_million,327
hosp_patients,327
hosp_patients_per_million,327
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,836
new_tests,837
total_tests_per_thousand,836
new_tests_per_thousand,837
new_tests_smoothed,843
new_tests_smoothed_per_thousand,843
positive_rate,845
tests_per_case,845
tests_units,836
total_vaccinations,1115
people_vaccinated,1269
people_fully_vaccinated,1203
total_boosters,1336
new_vaccinations,1142
new_vaccinations_smoothed,631
total_vaccinations_per_hundred,1115
people_vaccinated_per_hundred,1269
people_fully_vaccinated_per_hundred,1203
total_boosters_per_hundred,1336
new_vaccinations_smoothed_per_million,631
new_people_vaccinated_smoothed,1264
new_people_vaccinated_smoothed_per_hundred,1264
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1465
excess_mortality_cumulative,1465
excess_mortality,1465
excess_mortality_cumulative_per_million,1465
