,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,662
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1441
new_tests,1524
total_tests_per_thousand,1441
new_tests_per_thousand,1524
new_tests_smoothed,1260
new_tests_smoothed_per_thousand,1260
positive_rate,1261
tests_per_case,1269
tests_units,1253
total_vaccinations,1254
people_vaccinated,1267
people_fully_vaccinated,1266
total_boosters,1469
new_vaccinations,1302
new_vaccinations_smoothed,1086
total_vaccinations_per_hundred,1254
people_vaccinated_per_hundred,1267
people_fully_vaccinated_per_hundred,1266
total_boosters_per_hundred,1469
new_vaccinations_smoothed_per_million,1086
new_people_vaccinated_smoothed,1086
new_people_vaccinated_smoothed_per_hundred,1086
stringency_index,582
extreme_poverty,1674
excess_mortality_cumulative_absolute,1626
excess_mortality_cumulative,1626
excess_mortality,1626
excess_mortality_cumulative_per_million,1626
