,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,720
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1543
new_tests,1582
total_tests_per_thousand,1543
new_tests_per_thousand,1582
new_tests_smoothed,1407
new_tests_smoothed_per_thousand,1407
positive_rate,1408
tests_per_case,1411
tests_units,1400
total_vaccinations,1606
people_vaccinated,1612
people_fully_vaccinated,1617
total_boosters,1647
new_vaccinations,1671
new_vaccinations_smoothed,884
total_vaccinations_per_hundred,1606
people_vaccinated_per_hundred,1612
people_fully_vaccinated_per_hundred,1617
total_boosters_per_hundred,1647
new_vaccinations_smoothed_per_million,884
new_people_vaccinated_smoothed,884
new_people_vaccinated_smoothed_per_hundred,884
stringency_index,582
extreme_poverty,1674
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1650
excess_mortality_cumulative,1650
excess_mortality,1650
excess_mortality_cumulative_per_million,1650
