,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,673
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,935
new_tests,935
total_tests_per_thousand,935
new_tests_per_thousand,935
new_tests_smoothed,870
new_tests_smoothed_per_thousand,870
positive_rate,870
tests_per_case,870
tests_units,863
total_vaccinations,1119
people_vaccinated,1122
people_fully_vaccinated,1161
total_boosters,1325
new_vaccinations,1353
new_vaccinations_smoothed,422
total_vaccinations_per_hundred,1119
people_vaccinated_per_hundred,1122
people_fully_vaccinated_per_hundred,1161
total_boosters_per_hundred,1325
new_vaccinations_smoothed_per_million,422
new_people_vaccinated_smoothed,421
new_people_vaccinated_smoothed_per_hundred,421
stringency_index,582
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
