,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,769
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1638
new_tests,1667
total_tests_per_thousand,1638
new_tests_per_thousand,1667
new_tests_smoothed,1569
new_tests_smoothed_per_thousand,1569
positive_rate,1569
tests_per_case,1569
tests_units,1562
total_vaccinations,1135
people_vaccinated,1143
people_fully_vaccinated,1193
total_boosters,1659
new_vaccinations,1193
new_vaccinations_smoothed,627
total_vaccinations_per_hundred,1135
people_vaccinated_per_hundred,1143
people_fully_vaccinated_per_hundred,1193
total_boosters_per_hundred,1659
new_vaccinations_smoothed_per_million,627
new_people_vaccinated_smoothed,627
new_people_vaccinated_smoothed_per_hundred,627
stringency_index,582
extreme_poverty,1674
excess_mortality_cumulative_absolute,1629
excess_mortality_cumulative,1629
excess_mortality,1629
excess_mortality_cumulative_per_million,1629
