,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,1674
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1663
new_tests,1663
total_tests_per_thousand,1663
new_tests_per_thousand,1663
new_tests_smoothed,1644
new_tests_smoothed_per_thousand,1644
positive_rate,1644
tests_per_case,1645
tests_units,1637
total_vaccinations,1606
people_vaccinated,1614
people_fully_vaccinated,1618
total_boosters,1654
new_vaccinations,1674
new_vaccinations_smoothed,1130
total_vaccinations_per_hundred,1606
people_vaccinated_per_hundred,1614
people_fully_vaccinated_per_hundred,1618
total_boosters_per_hundred,1654
new_vaccinations_smoothed_per_million,1130
new_people_vaccinated_smoothed,1130
new_people_vaccinated_smoothed_per_hundred,1130
stringency_index,582
median_age,1674
aged_65_older,1674
aged_70_older,1674
extreme_poverty,1674
female_smokers,1674
male_smokers,1674
handwashing_facilities,1674
hospital_beds_per_thousand,1674
human_development_index,1674
excess_mortality_cumulative_absolute,1650
excess_mortality_cumulative,1650
excess_mortality,1650
excess_mortality_cumulative_per_million,1650
