,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,788
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1089
new_tests,1089
total_tests_per_thousand,1089
new_tests_per_thousand,1089
new_tests_smoothed,974
new_tests_smoothed_per_thousand,974
positive_rate,974
tests_per_case,1029
tests_units,967
total_vaccinations,1543
people_vaccinated,1549
people_fully_vaccinated,1609
total_boosters,1648
new_vaccinations,1606
new_vaccinations_smoothed,1091
total_vaccinations_per_hundred,1543
people_vaccinated_per_hundred,1549
people_fully_vaccinated_per_hundred,1609
total_boosters_per_hundred,1648
new_vaccinations_smoothed_per_million,1091
new_people_vaccinated_smoothed,1091
new_people_vaccinated_smoothed_per_hundred,1091
stringency_index,582
female_smokers,1674
male_smokers,1674
excess_mortality_cumulative_absolute,1638
excess_mortality_cumulative,1638
excess_mortality,1638
excess_mortality_cumulative_per_million,1638
