,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,658
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1189
new_tests,1267
total_tests_per_thousand,1189
new_tests_per_thousand,1267
new_tests_smoothed,1036
new_tests_smoothed_per_thousand,1036
positive_rate,1036
tests_per_case,1037
tests_units,1029
total_vaccinations,1654
people_vaccinated,1652
people_fully_vaccinated,1654
total_boosters,1672
new_vaccinations,1672
new_vaccinations_smoothed,1322
total_vaccinations_per_hundred,1654
people_vaccinated_per_hundred,1652
people_fully_vaccinated_per_hundred,1654
total_boosters_per_hundred,1672
new_vaccinations_smoothed_per_million,1322
new_people_vaccinated_smoothed,1322
new_people_vaccinated_smoothed_per_hundred,1322
stringency_index,582
excess_mortality_cumulative_absolute,1626
excess_mortality_cumulative,1626
excess_mortality,1626
excess_mortality_cumulative_per_million,1626
