,0
new_cases,1
new_cases_smoothed,6
new_deaths_smoothed,5
new_cases_per_million,1
new_cases_smoothed_per_million,6
new_deaths_smoothed_per_million,5
reproduction_rate,744
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1635
new_tests,1668
total_tests_per_thousand,1635
new_tests_per_thousand,1668
new_tests_smoothed,1523
new_tests_smoothed_per_thousand,1523
positive_rate,1523
tests_per_case,1523
tests_units,1516
total_vaccinations,1607
people_vaccinated,1606
people_fully_vaccinated,1612
total_boosters,1635
new_vaccinations,1668
new_vaccinations_smoothed,871
total_vaccinations_per_hundred,1607
people_vaccinated_per_hundred,1606
people_fully_vaccinated_per_hundred,1612
total_boosters_per_hundred,1635
new_vaccinations_smoothed_per_million,871
new_people_vaccinated_smoothed,871
new_people_vaccinated_smoothed_per_hundred,871
stringency_index,582
female_smokers,1674
male_smokers,1674
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
