,0
new_cases_smoothed,5
new_deaths,1
new_deaths_smoothed,6
new_cases_smoothed_per_million,5
new_deaths_per_million,1
new_deaths_smoothed_per_million,6
reproduction_rate,644
icu_patients,218
icu_patients_per_million,218
hosp_patients,218
hosp_patients_per_million,218
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,840
new_tests,849
total_tests_per_thousand,840
new_tests_per_thousand,849
new_tests_smoothed,823
new_tests_smoothed_per_thousand,823
positive_rate,824
tests_per_case,824
tests_units,816
total_vaccinations,410
people_vaccinated,973
people_fully_vaccinated,929
total_boosters,470
new_vaccinations,431
new_vaccinations_smoothed,356
total_vaccinations_per_hundred,410
people_vaccinated_per_hundred,973
people_fully_vaccinated_per_hundred,929
total_boosters_per_hundred,470
new_vaccinations_smoothed_per_million,356
new_people_vaccinated_smoothed,902
new_people_vaccinated_smoothed_per_hundred,902
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1465
excess_mortality_cumulative,1465
excess_mortality,1465
excess_mortality_cumulative_per_million,1465
