,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,705
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1657
new_tests,1674
total_tests_per_thousand,1657
new_tests_per_thousand,1674
new_tests_smoothed,1523
new_tests_smoothed_per_thousand,1523
positive_rate,1523
tests_per_case,1625
tests_units,1516
total_vaccinations,1613
people_vaccinated,1620
people_fully_vaccinated,1625
total_boosters,1650
new_vaccinations,1673
new_vaccinations_smoothed,830
total_vaccinations_per_hundred,1613
people_vaccinated_per_hundred,1620
people_fully_vaccinated_per_hundred,1625
total_boosters_per_hundred,1650
new_vaccinations_smoothed_per_million,830
new_people_vaccinated_smoothed,830
new_people_vaccinated_smoothed_per_hundred,830
stringency_index,582
extreme_poverty,1674
female_smokers,1674
male_smokers,1674
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
