,0
new_cases_smoothed,5
new_deaths,1
new_deaths_smoothed,6
new_cases_smoothed_per_million,5
new_deaths_per_million,1
new_deaths_smoothed_per_million,6
reproduction_rate,598
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1671
new_tests,1674
total_tests_per_thousand,1671
new_tests_per_thousand,1674
new_tests_smoothed,1024
new_tests_smoothed_per_thousand,1024
positive_rate,1024
tests_per_case,1024
tests_units,1017
total_vaccinations,995
people_vaccinated,1628
people_fully_vaccinated,1613
total_boosters,1632
new_vaccinations,1012
new_vaccinations_smoothed,888
total_vaccinations_per_hundred,995
people_vaccinated_per_hundred,1628
people_fully_vaccinated_per_hundred,1613
total_boosters_per_hundred,1632
new_vaccinations_smoothed_per_million,888
new_people_vaccinated_smoothed,1065
new_people_vaccinated_smoothed_per_hundred,1065
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
