,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,727
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1672
new_tests,1674
total_tests_per_thousand,1672
new_tests_per_thousand,1674
new_tests_smoothed,1608
new_tests_smoothed_per_thousand,1608
positive_rate,1608
tests_per_case,1609
tests_units,1601
total_vaccinations,1640
people_vaccinated,1644
people_fully_vaccinated,1645
total_boosters,1674
new_vaccinations,1674
new_vaccinations_smoothed,1145
total_vaccinations_per_hundred,1640
people_vaccinated_per_hundred,1644
people_fully_vaccinated_per_hundred,1645
total_boosters_per_hundred,1674
new_vaccinations_smoothed_per_million,1145
new_people_vaccinated_smoothed,1145
new_people_vaccinated_smoothed_per_hundred,1145
stringency_index,1674
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
