,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,664
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1204
new_tests,1205
total_tests_per_thousand,1204
new_tests_per_thousand,1205
new_tests_smoothed,1211
new_tests_smoothed_per_thousand,1211
positive_rate,1211
tests_per_case,1211
tests_units,1204
total_vaccinations,950
people_vaccinated,949
people_fully_vaccinated,958
total_boosters,1150
new_vaccinations,1030
new_vaccinations_smoothed,627
total_vaccinations_per_hundred,950
people_vaccinated_per_hundred,949
people_fully_vaccinated_per_hundred,958
total_boosters_per_hundred,1150
new_vaccinations_smoothed_per_million,627
new_people_vaccinated_smoothed,608
new_people_vaccinated_smoothed_per_hundred,608
stringency_index,582
gdp_per_capita,1674
extreme_poverty,1674
excess_mortality_cumulative_absolute,1638
excess_mortality_cumulative,1638
excess_mortality,1638
excess_mortality_cumulative_per_million,1638
