,0
total_cases,8
new_cases,8
new_cases_smoothed,13
total_deaths,8
new_deaths,8
new_deaths_smoothed,13
total_cases_per_million,8
new_cases_per_million,8
new_cases_smoothed_per_million,13
total_deaths_per_million,8
new_deaths_per_million,8
new_deaths_smoothed_per_million,13
reproduction_rate,657
icu_patients,56
icu_patients_per_million,56
hosp_patients,66
hosp_patients_per_million,66
weekly_icu_admissions,64
weekly_icu_admissions_per_million,64
weekly_hosp_admissions,64
weekly_hosp_admissions_per_million,64
total_tests,930
new_tests,930
total_tests_per_thousand,930
new_tests_per_thousand,930
new_tests_smoothed,937
new_tests_smoothed_per_thousand,937
positive_rate,936
tests_per_case,936
tests_units,930
total_vaccinations,469
people_vaccinated,469
people_fully_vaccinated,471
total_boosters,500
new_vaccinations,530
new_vaccinations_smoothed,370
total_vaccinations_per_hundred,469
people_vaccinated_per_hundred,469
people_fully_vaccinated_per_hundred,471
total_boosters_per_hundred,500
new_vaccinations_smoothed_per_million,370
new_people_vaccinated_smoothed,370
new_people_vaccinated_smoothed_per_hundred,370
stringency_index,590
extreme_poverty,1682
handwashing_facilities,1682
excess_mortality_cumulative_absolute,1473
excess_mortality_cumulative,1473
excess_mortality,1473
excess_mortality_cumulative_per_million,1473
