,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,948
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1651
new_tests,1666
total_tests_per_thousand,1651
new_tests_per_thousand,1666
new_tests_smoothed,1617
new_tests_smoothed_per_thousand,1617
positive_rate,1617
tests_per_case,1619
tests_units,1610
total_vaccinations,1572
people_vaccinated,1574
people_fully_vaccinated,1589
total_boosters,1655
new_vaccinations,1666
new_vaccinations_smoothed,1071
total_vaccinations_per_hundred,1572
people_vaccinated_per_hundred,1574
people_fully_vaccinated_per_hundred,1589
total_boosters_per_hundred,1655
new_vaccinations_smoothed_per_million,1071
new_people_vaccinated_smoothed,1071
new_people_vaccinated_smoothed_per_hundred,1071
stringency_index,582
median_age,1674
aged_65_older,1674
aged_70_older,1674
extreme_poverty,1674
female_smokers,1674
male_smokers,1674
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
