,0
total_cases,1014
new_cases,1014
new_cases_smoothed,1019
total_deaths,1014
new_deaths,1014
new_deaths_smoothed,1019
total_cases_per_million,1014
new_cases_per_million,1014
new_cases_smoothed_per_million,1019
total_deaths_per_million,1014
new_deaths_per_million,1014
new_deaths_smoothed_per_million,1019
reproduction_rate,1998
icu_patients,2688
icu_patients_per_million,2688
hosp_patients,2688
hosp_patients_per_million,2688
weekly_icu_admissions,2688
weekly_icu_admissions_per_million,2688
weekly_hosp_admissions,2688
weekly_hosp_admissions_per_million,2688
total_tests,2651
new_tests,2679
total_tests_per_thousand,2651
new_tests_per_thousand,2679
new_tests_smoothed,2388
new_tests_smoothed_per_thousand,2388
positive_rate,2389
tests_per_case,2395
tests_units,2381
total_vaccinations,2594
people_vaccinated,2594
people_fully_vaccinated,2597
total_boosters,2637
new_vaccinations,2687
new_vaccinations_smoothed,1736
total_vaccinations_per_hundred,2594
people_vaccinated_per_hundred,2594
people_fully_vaccinated_per_hundred,2597
total_boosters_per_hundred,2637
new_vaccinations_smoothed_per_million,1736
new_people_vaccinated_smoothed,1736
new_people_vaccinated_smoothed_per_hundred,1736
stringency_index,2000
excess_mortality_cumulative_absolute,2688
excess_mortality_cumulative,2688
excess_mortality,2688
excess_mortality_cumulative_per_million,2688
