,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,650
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1668
new_tests,1674
total_tests_per_thousand,1668
new_tests_per_thousand,1674
new_tests_smoothed,1625
new_tests_smoothed_per_thousand,1625
positive_rate,1627
tests_per_case,1637
tests_units,1618
total_vaccinations,1555
people_vaccinated,1558
people_fully_vaccinated,1564
total_boosters,1623
new_vaccinations,1664
new_vaccinations_smoothed,827
total_vaccinations_per_hundred,1555
people_vaccinated_per_hundred,1558
people_fully_vaccinated_per_hundred,1564
total_boosters_per_hundred,1623
new_vaccinations_smoothed_per_million,827
new_people_vaccinated_smoothed,827
new_people_vaccinated_smoothed_per_hundred,827
stringency_index,582
excess_mortality_cumulative_absolute,1626
excess_mortality_cumulative,1626
excess_mortality,1626
excess_mortality_cumulative_per_million,1626
