,0
new_cases,1
new_cases_smoothed,6
new_deaths_smoothed,5
new_cases_per_million,1
new_cases_smoothed_per_million,6
new_deaths_smoothed_per_million,5
reproduction_rate,691
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1596
new_tests,1663
total_tests_per_thousand,1596
new_tests_per_thousand,1663
new_tests_smoothed,1341
new_tests_smoothed_per_thousand,1341
positive_rate,1342
tests_per_case,1366
tests_units,1334
total_vaccinations,1594
people_vaccinated,1595
people_fully_vaccinated,1599
total_boosters,1669
new_vaccinations,1673
new_vaccinations_smoothed,1179
total_vaccinations_per_hundred,1594
people_vaccinated_per_hundred,1595
people_fully_vaccinated_per_hundred,1599
total_boosters_per_hundred,1669
new_vaccinations_smoothed_per_million,1179
new_people_vaccinated_smoothed,1179
new_people_vaccinated_smoothed_per_hundred,1179
stringency_index,1674
extreme_poverty,1674
female_smokers,1674
male_smokers,1674
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
