,0
continent,3024
total_cases,1350
new_cases,1350
new_cases_smoothed,1355
total_deaths,1350
new_deaths,1350
new_deaths_smoothed,1355
total_cases_per_million,1350
new_cases_per_million,1350
new_cases_smoothed_per_million,1355
total_deaths_per_million,1350
new_deaths_per_million,1350
new_deaths_smoothed_per_million,1355
reproduction_rate,3024
icu_patients,3024
icu_patients_per_million,3024
hosp_patients,3024
hosp_patients_per_million,3024
weekly_icu_admissions,3024
weekly_icu_admissions_per_million,3024
weekly_hosp_admissions,3024
weekly_hosp_admissions_per_million,3024
total_tests,3024
new_tests,3024
total_tests_per_thousand,3024
new_tests_per_thousand,3024
new_tests_smoothed,3024
new_tests_smoothed_per_thousand,3024
positive_rate,3024
tests_per_case,3024
tests_units,3024
total_vaccinations,1674
people_vaccinated,1674
people_fully_vaccinated,1697
total_boosters,1702
new_vaccinations,1680
new_vaccinations_smoothed,1680
total_vaccinations_per_hundred,1674
people_vaccinated_per_hundred,1674
people_fully_vaccinated_per_hundred,1697
total_boosters_per_hundred,1702
new_vaccinations_smoothed_per_million,1680
new_people_vaccinated_smoothed,1680
new_people_vaccinated_smoothed_per_hundred,1680
stringency_index,3024
population_density,3024
median_age,3024
aged_65_older,3024
aged_70_older,3024
gdp_per_capita,3024
extreme_poverty,3024
cardiovasc_death_rate,3024
diabetes_prevalence,3024
female_smokers,3024
male_smokers,3024
handwashing_facilities,3024
hospital_beds_per_thousand,3024
life_expectancy,3024
human_development_index,3024
excess_mortality_cumulative_absolute,3024
excess_mortality_cumulative,3024
excess_mortality,3024
excess_mortality_cumulative_per_million,3024
