,0
new_cases,400
new_cases_smoothed,405
new_deaths,400
new_deaths_smoothed,405
new_cases_per_million,400
new_cases_smoothed_per_million,405
new_deaths_per_million,400
new_deaths_smoothed_per_million,405
reproduction_rate,636
icu_patients,565
icu_patients_per_million,565
hosp_patients,565
hosp_patients_per_million,565
weekly_icu_admissions,572
weekly_icu_admissions_per_million,572
weekly_hosp_admissions,572
weekly_hosp_admissions_per_million,572
total_tests,907
new_tests,907
total_tests_per_thousand,907
new_tests_per_thousand,907
new_tests_smoothed,914
new_tests_smoothed_per_thousand,914
positive_rate,913
tests_per_case,913
tests_units,907
total_vaccinations,748
people_vaccinated,748
people_fully_vaccinated,749
total_boosters,767
new_vaccinations,749
new_vaccinations_smoothed,749
total_vaccinations_per_hundred,748
people_vaccinated_per_hundred,748
people_fully_vaccinated_per_hundred,749
total_boosters_per_hundred,767
new_vaccinations_smoothed_per_million,749
new_people_vaccinated_smoothed,749
new_people_vaccinated_smoothed_per_hundred,749
stringency_index,582
extreme_poverty,1674
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1465
excess_mortality_cumulative,1465
excess_mortality,1465
excess_mortality_cumulative_per_million,1465
