,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,684
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1601
new_tests,1665
total_tests_per_thousand,1601
new_tests_per_thousand,1665
new_tests_smoothed,1338
new_tests_smoothed_per_thousand,1338
positive_rate,1338
tests_per_case,1354
tests_units,1331
total_vaccinations,1611
people_vaccinated,1612
people_fully_vaccinated,1614
total_boosters,1658
new_vaccinations,1673
new_vaccinations_smoothed,989
total_vaccinations_per_hundred,1611
people_vaccinated_per_hundred,1612
people_fully_vaccinated_per_hundred,1614
total_boosters_per_hundred,1658
new_vaccinations_smoothed_per_million,989
new_people_vaccinated_smoothed,989
new_people_vaccinated_smoothed_per_hundred,989
stringency_index,582
female_smokers,1674
male_smokers,1674
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
