,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,778
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1597
new_tests,1674
total_tests_per_thousand,1597
new_tests_per_thousand,1674
new_tests_smoothed,1357
new_tests_smoothed_per_thousand,1357
positive_rate,1357
tests_per_case,1367
tests_units,1350
total_vaccinations,1631
people_vaccinated,1633
people_fully_vaccinated,1639
total_boosters,1665
new_vaccinations,1673
new_vaccinations_smoothed,934
total_vaccinations_per_hundred,1631
people_vaccinated_per_hundred,1633
people_fully_vaccinated_per_hundred,1639
total_boosters_per_hundred,1665
new_vaccinations_smoothed_per_million,934
new_people_vaccinated_smoothed,934
new_people_vaccinated_smoothed_per_hundred,934
stringency_index,582
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
