,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,657
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1646
weekly_icu_admissions_per_million,1646
weekly_hosp_admissions,1646
weekly_hosp_admissions_per_million,1646
total_tests,987
new_tests,987
total_tests_per_thousand,987
new_tests_per_thousand,987
new_tests_smoothed,884
new_tests_smoothed_per_thousand,884
positive_rate,884
tests_per_case,886
tests_units,877
total_vaccinations,1511
people_vaccinated,1290
people_fully_vaccinated,1290
total_boosters,1475
new_vaccinations,1547
new_vaccinations_smoothed,968
total_vaccinations_per_hundred,1511
people_vaccinated_per_hundred,1290
people_fully_vaccinated_per_hundred,1290
total_boosters_per_hundred,1475
new_vaccinations_smoothed_per_million,968
new_people_vaccinated_smoothed,966
new_people_vaccinated_smoothed_per_hundred,966
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1465
excess_mortality_cumulative,1465
excess_mortality,1465
excess_mortality_cumulative_per_million,1465
