,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,649
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1111
new_tests,1177
total_tests_per_thousand,1111
new_tests_per_thousand,1177
new_tests_smoothed,903
new_tests_smoothed_per_thousand,903
positive_rate,903
tests_per_case,903
tests_units,896
total_vaccinations,1585
people_vaccinated,1594
people_fully_vaccinated,1601
total_boosters,1642
new_vaccinations,1672
new_vaccinations_smoothed,1002
total_vaccinations_per_hundred,1585
people_vaccinated_per_hundred,1594
people_fully_vaccinated_per_hundred,1601
total_boosters_per_hundred,1642
new_vaccinations_smoothed_per_million,1002
new_people_vaccinated_smoothed,1002
new_people_vaccinated_smoothed_per_hundred,1002
stringency_index,582
female_smokers,1674
male_smokers,1674
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
