,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,682
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1097
new_tests,1220
total_tests_per_thousand,1097
new_tests_per_thousand,1220
new_tests_smoothed,861
new_tests_smoothed_per_thousand,861
positive_rate,861
tests_per_case,861
tests_units,854
total_vaccinations,1349
people_vaccinated,1340
people_fully_vaccinated,1347
total_boosters,1444
new_vaccinations,1490
new_vaccinations_smoothed,736
total_vaccinations_per_hundred,1349
people_vaccinated_per_hundred,1340
people_fully_vaccinated_per_hundred,1347
total_boosters_per_hundred,1444
new_vaccinations_smoothed_per_million,736
new_people_vaccinated_smoothed,736
new_people_vaccinated_smoothed_per_hundred,736
stringency_index,582
extreme_poverty,1674
excess_mortality_cumulative_absolute,1638
excess_mortality_cumulative,1638
excess_mortality,1638
excess_mortality_cumulative_per_million,1638
