,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,628
icu_patients,1471
icu_patients_per_million,1471
hosp_patients,1470
hosp_patients_per_million,1470
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,808
new_tests,808
total_tests_per_thousand,808
new_tests_per_thousand,808
new_tests_smoothed,812
new_tests_smoothed_per_thousand,812
positive_rate,812
tests_per_case,812
tests_units,805
total_vaccinations,881
people_vaccinated,881
people_fully_vaccinated,895
total_boosters,1151
new_vaccinations,891
new_vaccinations_smoothed,865
total_vaccinations_per_hundred,881
people_vaccinated_per_hundred,881
people_fully_vaccinated_per_hundred,895
total_boosters_per_hundred,1151
new_vaccinations_smoothed_per_million,865
new_people_vaccinated_smoothed,865
new_people_vaccinated_smoothed_per_hundred,865
stringency_index,582
extreme_poverty,1674
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1626
excess_mortality_cumulative,1626
excess_mortality,1626
excess_mortality_cumulative_per_million,1626
