,0
total_cases,10
new_cases,10
new_cases_smoothed,15
total_deaths,10
new_deaths,10
new_deaths_smoothed,15
total_cases_per_million,10
new_cases_per_million,10
new_cases_smoothed_per_million,15
total_deaths_per_million,10
new_deaths_per_million,10
new_deaths_smoothed_per_million,15
reproduction_rate,671
icu_patients,1095
icu_patients_per_million,1095
hosp_patients,1070
hosp_patients_per_million,1070
weekly_icu_admissions,1621
weekly_icu_admissions_per_million,1621
weekly_hosp_admissions,1684
weekly_hosp_admissions_per_million,1684
total_tests,862
new_tests,862
total_tests_per_thousand,862
new_tests_per_thousand,862
new_tests_smoothed,869
new_tests_smoothed_per_thousand,869
positive_rate,868
tests_per_case,868
tests_units,862
total_vaccinations,598
people_vaccinated,598
people_fully_vaccinated,616
total_boosters,651
new_vaccinations,728
new_vaccinations_smoothed,358
total_vaccinations_per_hundred,598
people_vaccinated_per_hundred,598
people_fully_vaccinated_per_hundred,616
total_boosters_per_hundred,651
new_vaccinations_smoothed_per_million,358
new_people_vaccinated_smoothed,358
new_people_vaccinated_smoothed_per_hundred,358
stringency_index,592
handwashing_facilities,1684
excess_mortality_cumulative_absolute,1475
excess_mortality_cumulative,1475
excess_mortality,1475
excess_mortality_cumulative_per_million,1475
