,0
continent,2724
total_cases,1050
new_cases,1050
new_cases_smoothed,1055
total_deaths,1050
new_deaths,1050
new_deaths_smoothed,1055
total_cases_per_million,1050
new_cases_per_million,1050
new_cases_smoothed_per_million,1055
total_deaths_per_million,1050
new_deaths_per_million,1050
new_deaths_smoothed_per_million,1055
reproduction_rate,2724
icu_patients,2724
icu_patients_per_million,2724
hosp_patients,2724
hosp_patients_per_million,2724
weekly_icu_admissions,2724
weekly_icu_admissions_per_million,2724
weekly_hosp_admissions,2724
weekly_hosp_admissions_per_million,2724
total_tests,2724
new_tests,2724
total_tests_per_thousand,2724
new_tests_per_thousand,2724
new_tests_smoothed,2724
new_tests_smoothed_per_thousand,2724
positive_rate,2724
tests_per_case,2724
tests_units,2724
total_vaccinations,1674
people_vaccinated,1674
people_fully_vaccinated,1718
total_boosters,2014
new_vaccinations,1674
new_vaccinations_smoothed,1674
total_vaccinations_per_hundred,1674
people_vaccinated_per_hundred,1674
people_fully_vaccinated_per_hundred,1718
total_boosters_per_hundred,2014
new_vaccinations_smoothed_per_million,1674
new_people_vaccinated_smoothed,1674
new_people_vaccinated_smoothed_per_hundred,1674
stringency_index,2724
population_density,2724
median_age,2724
aged_65_older,2724
aged_70_older,2724
gdp_per_capita,2724
extreme_poverty,2724
cardiovasc_death_rate,2724
diabetes_prevalence,2724
female_smokers,2724
male_smokers,2724
handwashing_facilities,2724
hospital_beds_per_thousand,2724
life_expectancy,2724
human_development_index,2724
excess_mortality_cumulative_absolute,2724
excess_mortality_cumulative,2724
excess_mortality,2724
excess_mortality_cumulative_per_million,2724
