,0
continent,2983
total_cases,1309
new_cases,1309
new_cases_smoothed,1314
total_deaths,1309
new_deaths,1309
new_deaths_smoothed,1314
total_cases_per_million,1309
new_cases_per_million,1309
new_cases_smoothed_per_million,1314
total_deaths_per_million,1309
new_deaths_per_million,1309
new_deaths_smoothed_per_million,1314
reproduction_rate,2983
icu_patients,2983
icu_patients_per_million,2983
hosp_patients,2983
hosp_patients_per_million,2983
weekly_icu_admissions,2983
weekly_icu_admissions_per_million,2983
weekly_hosp_admissions,2983
weekly_hosp_admissions_per_million,2983
total_tests,2983
new_tests,2983
total_tests_per_thousand,2983
new_tests_per_thousand,2983
new_tests_smoothed,2983
new_tests_smoothed_per_thousand,2983
positive_rate,2983
tests_per_case,2983
tests_units,2983
total_vaccinations,1674
people_vaccinated,1674
people_fully_vaccinated,1690
total_boosters,1882
new_vaccinations,1678
new_vaccinations_smoothed,1678
total_vaccinations_per_hundred,1674
people_vaccinated_per_hundred,1674
people_fully_vaccinated_per_hundred,1690
total_boosters_per_hundred,1882
new_vaccinations_smoothed_per_million,1678
new_people_vaccinated_smoothed,1678
new_people_vaccinated_smoothed_per_hundred,1678
stringency_index,2983
population_density,2983
median_age,2983
aged_65_older,2983
aged_70_older,2983
gdp_per_capita,2983
extreme_poverty,2983
cardiovasc_death_rate,2983
diabetes_prevalence,2983
female_smokers,2983
male_smokers,2983
handwashing_facilities,2983
hospital_beds_per_thousand,2983
life_expectancy,2983
human_development_index,2983
excess_mortality_cumulative_absolute,2983
excess_mortality_cumulative,2983
excess_mortality,2983
excess_mortality_cumulative_per_million,2983
