,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,653
icu_patients,543
icu_patients_per_million,543
hosp_patients,564
hosp_patients_per_million,564
weekly_icu_admissions,1526
weekly_icu_admissions_per_million,1526
weekly_hosp_admissions,1512
weekly_hosp_admissions_per_million,1512
total_tests,827
new_tests,830
total_tests_per_thousand,827
new_tests_per_thousand,830
new_tests_smoothed,832
new_tests_smoothed_per_thousand,832
positive_rate,827
tests_per_case,834
tests_units,825
total_vaccinations,948
people_vaccinated,948
people_fully_vaccinated,1599
total_boosters,1020
new_vaccinations,1026
new_vaccinations_smoothed,857
total_vaccinations_per_hundred,948
people_vaccinated_per_hundred,948
people_fully_vaccinated_per_hundred,1599
total_boosters_per_hundred,1020
new_vaccinations_smoothed_per_million,857
new_people_vaccinated_smoothed,857
new_people_vaccinated_smoothed_per_hundred,857
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1465
excess_mortality_cumulative,1465
excess_mortality,1465
excess_mortality_cumulative_per_million,1465
