,0
total_cases,10
new_cases,10
new_cases_smoothed,15
total_deaths,10
new_deaths,10
new_deaths_smoothed,15
total_cases_per_million,10
new_cases_per_million,10
new_cases_smoothed_per_million,15
total_deaths_per_million,10
new_deaths_per_million,10
new_deaths_smoothed_per_million,15
reproduction_rate,655
icu_patients,87
icu_patients_per_million,87
hosp_patients,87
hosp_patients_per_million,87
weekly_icu_admissions,1684
weekly_icu_admissions_per_million,1684
weekly_hosp_admissions,93
weekly_hosp_admissions_per_million,93
total_tests,806
new_tests,806
total_tests_per_thousand,806
new_tests_per_thousand,806
new_tests_smoothed,813
new_tests_smoothed_per_thousand,813
positive_rate,813
tests_per_case,818
tests_units,806
total_vaccinations,427
people_vaccinated,448
people_fully_vaccinated,427
total_boosters,616
new_vaccinations,435
new_vaccinations_smoothed,417
total_vaccinations_per_hundred,427
people_vaccinated_per_hundred,448
people_fully_vaccinated_per_hundred,427
total_boosters_per_hundred,616
new_vaccinations_smoothed_per_million,417
new_people_vaccinated_smoothed,417
new_people_vaccinated_smoothed_per_hundred,417
stringency_index,592
handwashing_facilities,1684
excess_mortality_cumulative_absolute,1636
excess_mortality_cumulative,1636
excess_mortality,1636
excess_mortality_cumulative_per_million,1636
