,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,659
icu_patients,1479
icu_patients_per_million,1479
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1587
weekly_icu_admissions_per_million,1587
weekly_hosp_admissions,1482
weekly_hosp_admissions_per_million,1482
total_tests,971
new_tests,972
total_tests_per_thousand,971
new_tests_per_thousand,972
new_tests_smoothed,978
new_tests_smoothed_per_thousand,978
positive_rate,979
tests_per_case,979
tests_units,971
total_vaccinations,905
people_vaccinated,906
people_fully_vaccinated,912
total_boosters,1651
new_vaccinations,974
new_vaccinations_smoothed,517
total_vaccinations_per_hundred,905
people_vaccinated_per_hundred,906
people_fully_vaccinated_per_hundred,912
total_boosters_per_hundred,1651
new_vaccinations_smoothed_per_million,517
new_people_vaccinated_smoothed,517
new_people_vaccinated_smoothed_per_hundred,517
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1465
excess_mortality_cumulative,1465
excess_mortality,1465
excess_mortality_cumulative_per_million,1465
