,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,665
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1671
new_tests,1674
total_tests_per_thousand,1671
new_tests_per_thousand,1674
new_tests_smoothed,1575
new_tests_smoothed_per_thousand,1575
positive_rate,1586
tests_per_case,1600
tests_units,1568
total_vaccinations,1604
people_vaccinated,1606
people_fully_vaccinated,1611
total_boosters,1634
new_vaccinations,1673
new_vaccinations_smoothed,758
total_vaccinations_per_hundred,1604
people_vaccinated_per_hundred,1606
people_fully_vaccinated_per_hundred,1611
total_boosters_per_hundred,1634
new_vaccinations_smoothed_per_million,758
new_people_vaccinated_smoothed,758
new_people_vaccinated_smoothed_per_hundred,758
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1638
excess_mortality_cumulative,1638
excess_mortality,1638
excess_mortality_cumulative_per_million,1638
