,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,659
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1674
new_tests,1180
total_tests_per_thousand,1674
new_tests_per_thousand,1180
new_tests_smoothed,1227
new_tests_smoothed_per_thousand,1227
positive_rate,1227
tests_per_case,1227
tests_units,1134
total_vaccinations,1379
people_vaccinated,1538
people_fully_vaccinated,1410
total_boosters,1659
new_vaccinations,1465
new_vaccinations_smoothed,651
total_vaccinations_per_hundred,1379
people_vaccinated_per_hundred,1538
people_fully_vaccinated_per_hundred,1410
total_boosters_per_hundred,1659
new_vaccinations_smoothed_per_million,651
new_people_vaccinated_smoothed,651
new_people_vaccinated_smoothed_per_hundred,651
stringency_index,582
excess_mortality_cumulative_absolute,1638
excess_mortality_cumulative,1638
excess_mortality,1638
excess_mortality_cumulative_per_million,1638
