,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,704
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,905
new_tests,954
total_tests_per_thousand,905
new_tests_per_thousand,954
new_tests_smoothed,803
new_tests_smoothed_per_thousand,803
positive_rate,905
tests_per_case,937
tests_units,796
total_vaccinations,1379
people_vaccinated,1376
people_fully_vaccinated,1402
total_boosters,1532
new_vaccinations,1479
new_vaccinations_smoothed,643
total_vaccinations_per_hundred,1379
people_vaccinated_per_hundred,1376
people_fully_vaccinated_per_hundred,1402
total_boosters_per_hundred,1532
new_vaccinations_smoothed_per_million,643
new_people_vaccinated_smoothed,649
new_people_vaccinated_smoothed_per_hundred,649
stringency_index,582
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
