,0
total_cases,7
new_cases,7
new_cases_smoothed,12
total_deaths,7
new_deaths,7
new_deaths_smoothed,12
total_cases_per_million,7
new_cases_per_million,7
new_cases_smoothed_per_million,12
total_deaths_per_million,7
new_deaths_per_million,7
new_deaths_smoothed_per_million,12
reproduction_rate,665
icu_patients,1681
icu_patients_per_million,1681
hosp_patients,1681
hosp_patients_per_million,1681
weekly_icu_admissions,1681
weekly_icu_admissions_per_million,1681
weekly_hosp_admissions,1681
weekly_hosp_admissions_per_million,1681
total_tests,1047
new_tests,1170
total_tests_per_thousand,1047
new_tests_per_thousand,1170
new_tests_smoothed,843
new_tests_smoothed_per_thousand,843
positive_rate,1681
tests_per_case,1681
tests_units,836
total_vaccinations,851
people_vaccinated,876
people_fully_vaccinated,894
total_boosters,943
new_vaccinations,880
new_vaccinations_smoothed,407
total_vaccinations_per_hundred,851
people_vaccinated_per_hundred,876
people_fully_vaccinated_per_hundred,894
total_boosters_per_hundred,943
new_vaccinations_smoothed_per_million,407
new_people_vaccinated_smoothed,874
new_people_vaccinated_smoothed_per_hundred,874
stringency_index,589
extreme_poverty,1681
handwashing_facilities,1681
excess_mortality_cumulative_absolute,1472
excess_mortality_cumulative,1472
excess_mortality,1472
excess_mortality_cumulative_per_million,1472
