,0
continent,1681
total_cases,7
new_cases,7
new_cases_smoothed,12
total_deaths,7
new_deaths,7
new_deaths_smoothed,12
total_cases_per_million,7
new_cases_per_million,7
new_cases_smoothed_per_million,12
total_deaths_per_million,7
new_deaths_per_million,7
new_deaths_smoothed_per_million,12
reproduction_rate,1681
icu_patients,1681
icu_patients_per_million,1681
hosp_patients,1681
hosp_patients_per_million,1681
weekly_icu_admissions,1681
weekly_icu_admissions_per_million,1681
weekly_hosp_admissions,1681
weekly_hosp_admissions_per_million,1681
total_tests,1681
new_tests,1681
total_tests_per_thousand,1681
new_tests_per_thousand,1681
new_tests_smoothed,1681
new_tests_smoothed_per_thousand,1681
positive_rate,1681
tests_per_case,1681
tests_units,1681
total_vaccinations,394
people_vaccinated,394
people_fully_vaccinated,402
total_boosters,500
new_vaccinations,397
new_vaccinations_smoothed,397
total_vaccinations_per_hundred,394
people_vaccinated_per_hundred,394
people_fully_vaccinated_per_hundred,402
total_boosters_per_hundred,500
new_vaccinations_smoothed_per_million,397
new_people_vaccinated_smoothed,397
new_people_vaccinated_smoothed_per_hundred,397
stringency_index,1681
population_density,1681
median_age,1681
aged_65_older,1681
aged_70_older,1681
gdp_per_capita,1681
extreme_poverty,1681
cardiovasc_death_rate,1681
diabetes_prevalence,1681
female_smokers,1681
male_smokers,1681
handwashing_facilities,1681
hospital_beds_per_thousand,1681
life_expectancy,1681
human_development_index,1681
excess_mortality_cumulative_absolute,1681
excess_mortality_cumulative,1681
excess_mortality,1681
excess_mortality_cumulative_per_million,1681
