,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,662
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1671
new_tests,1674
total_tests_per_thousand,1671
new_tests_per_thousand,1674
new_tests_smoothed,1593
new_tests_smoothed_per_thousand,1593
positive_rate,1603
tests_per_case,1606
tests_units,1586
total_vaccinations,1577
people_vaccinated,1584
people_fully_vaccinated,1592
total_boosters,1659
new_vaccinations,1635
new_vaccinations_smoothed,1008
total_vaccinations_per_hundred,1577
people_vaccinated_per_hundred,1584
people_fully_vaccinated_per_hundred,1592
total_boosters_per_hundred,1659
new_vaccinations_smoothed_per_million,1008
new_people_vaccinated_smoothed,1008
new_people_vaccinated_smoothed_per_hundred,1008
stringency_index,582
extreme_poverty,1674
excess_mortality_cumulative_absolute,1626
excess_mortality_cumulative,1626
excess_mortality,1626
excess_mortality_cumulative_per_million,1626
