,0
new_cases_smoothed,5
new_deaths,1
new_deaths_smoothed,6
new_cases_smoothed_per_million,5
new_deaths_per_million,1
new_deaths_smoothed_per_million,6
reproduction_rate,655
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,886
new_tests,930
total_tests_per_thousand,886
new_tests_per_thousand,930
new_tests_smoothed,845
new_tests_smoothed_per_thousand,845
positive_rate,845
tests_per_case,845
tests_units,838
total_vaccinations,1537
people_vaccinated,1539
people_fully_vaccinated,1555
total_boosters,1605
new_vaccinations,1637
new_vaccinations_smoothed,832
total_vaccinations_per_hundred,1537
people_vaccinated_per_hundred,1539
people_fully_vaccinated_per_hundred,1555
total_boosters_per_hundred,1605
new_vaccinations_smoothed_per_million,832
new_people_vaccinated_smoothed,832
new_people_vaccinated_smoothed_per_hundred,832
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1652
excess_mortality_cumulative,1652
excess_mortality,1652
excess_mortality_cumulative_per_million,1652
