,0
new_cases,1
new_cases_smoothed,6
new_deaths_smoothed,5
new_cases_per_million,1
new_cases_smoothed_per_million,6
new_deaths_smoothed_per_million,5
reproduction_rate,650
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,916
new_tests,918
total_tests_per_thousand,916
new_tests_per_thousand,918
new_tests_smoothed,891
new_tests_smoothed_per_thousand,891
positive_rate,894
tests_per_case,894
tests_units,884
total_vaccinations,1416
people_vaccinated,1539
people_fully_vaccinated,1451
total_boosters,1576
new_vaccinations,1544
new_vaccinations_smoothed,925
total_vaccinations_per_hundred,1416
people_vaccinated_per_hundred,1539
people_fully_vaccinated_per_hundred,1451
total_boosters_per_hundred,1576
new_vaccinations_smoothed_per_million,925
new_people_vaccinated_smoothed,925
new_people_vaccinated_smoothed_per_hundred,925
stringency_index,582
extreme_poverty,1674
excess_mortality_cumulative_absolute,1628
excess_mortality_cumulative,1628
excess_mortality,1628
excess_mortality_cumulative_per_million,1628
