,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,647
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1306
new_tests,1306
total_tests_per_thousand,1306
new_tests_per_thousand,1306
new_tests_smoothed,1224
new_tests_smoothed_per_thousand,1224
positive_rate,1674
tests_per_case,1674
tests_units,1217
total_vaccinations,1231
people_vaccinated,1498
people_fully_vaccinated,1499
total_boosters,1527
new_vaccinations,1330
new_vaccinations_smoothed,808
total_vaccinations_per_hundred,1231
people_vaccinated_per_hundred,1498
people_fully_vaccinated_per_hundred,1499
total_boosters_per_hundred,1527
new_vaccinations_smoothed_per_million,808
new_people_vaccinated_smoothed,865
new_people_vaccinated_smoothed_per_hundred,865
stringency_index,582
extreme_poverty,1674
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1626
excess_mortality_cumulative,1626
excess_mortality,1626
excess_mortality_cumulative_per_million,1626
