,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,650
icu_patients,1524
icu_patients_per_million,1524
hosp_patients,880
hosp_patients_per_million,880
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1570
new_tests,1674
total_tests_per_thousand,1570
new_tests_per_thousand,1674
new_tests_smoothed,959
new_tests_smoothed_per_thousand,959
positive_rate,967
tests_per_case,967
tests_units,952
total_vaccinations,1143
people_vaccinated,1399
people_fully_vaccinated,1164
total_boosters,1674
new_vaccinations,1145
new_vaccinations_smoothed,1143
total_vaccinations_per_hundred,1143
people_vaccinated_per_hundred,1399
people_fully_vaccinated_per_hundred,1164
total_boosters_per_hundred,1674
new_vaccinations_smoothed_per_million,1143
new_people_vaccinated_smoothed,583
new_people_vaccinated_smoothed_per_hundred,583
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1465
excess_mortality_cumulative,1465
excess_mortality,1465
excess_mortality_cumulative_per_million,1465
