,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,671
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,997
new_tests,1077
total_tests_per_thousand,997
new_tests_per_thousand,1077
new_tests_smoothed,873
new_tests_smoothed_per_thousand,873
positive_rate,873
tests_per_case,873
tests_units,866
total_vaccinations,1586
people_vaccinated,1585
people_fully_vaccinated,1618
total_boosters,1653
new_vaccinations,1646
new_vaccinations_smoothed,835
total_vaccinations_per_hundred,1586
people_vaccinated_per_hundred,1585
people_fully_vaccinated_per_hundred,1618
total_boosters_per_hundred,1653
new_vaccinations_smoothed_per_million,835
new_people_vaccinated_smoothed,835
new_people_vaccinated_smoothed_per_hundred,835
stringency_index,582
hospital_beds_per_thousand,1674
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
