,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,1105
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1517
new_tests,1612
total_tests_per_thousand,1517
new_tests_per_thousand,1612
new_tests_smoothed,1334
new_tests_smoothed_per_thousand,1334
positive_rate,1334
tests_per_case,1336
tests_units,1327
total_vaccinations,1598
people_vaccinated,1602
people_fully_vaccinated,1608
total_boosters,1655
new_vaccinations,1667
new_vaccinations_smoothed,1026
total_vaccinations_per_hundred,1598
people_vaccinated_per_hundred,1602
people_fully_vaccinated_per_hundred,1608
total_boosters_per_hundred,1655
new_vaccinations_smoothed_per_million,1026
new_people_vaccinated_smoothed,1021
new_people_vaccinated_smoothed_per_hundred,1021
stringency_index,1674
median_age,1674
aged_65_older,1674
aged_70_older,1674
extreme_poverty,1674
cardiovasc_death_rate,1674
female_smokers,1674
male_smokers,1674
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1641
excess_mortality_cumulative,1641
excess_mortality,1641
excess_mortality_cumulative_per_million,1641
