,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,885
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1636
new_tests,1667
total_tests_per_thousand,1636
new_tests_per_thousand,1667
new_tests_smoothed,1564
new_tests_smoothed_per_thousand,1564
positive_rate,1564
tests_per_case,1564
tests_units,1557
total_vaccinations,1462
people_vaccinated,1482
people_fully_vaccinated,1486
total_boosters,1632
new_vaccinations,1582
new_vaccinations_smoothed,1020
total_vaccinations_per_hundred,1462
people_vaccinated_per_hundred,1482
people_fully_vaccinated_per_hundred,1486
total_boosters_per_hundred,1632
new_vaccinations_smoothed_per_million,1020
new_people_vaccinated_smoothed,1020
new_people_vaccinated_smoothed_per_hundred,1020
stringency_index,1674
extreme_poverty,1674
female_smokers,1674
male_smokers,1674
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
