,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,650
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,831
new_tests,831
total_tests_per_thousand,831
new_tests_per_thousand,831
new_tests_smoothed,838
new_tests_smoothed_per_thousand,838
positive_rate,838
tests_per_case,840
tests_units,831
total_vaccinations,1304
people_vaccinated,1432
people_fully_vaccinated,1432
total_boosters,1561
new_vaccinations,1325
new_vaccinations_smoothed,835
total_vaccinations_per_hundred,1304
people_vaccinated_per_hundred,1432
people_fully_vaccinated_per_hundred,1432
total_boosters_per_hundred,1561
new_vaccinations_smoothed_per_million,835
new_people_vaccinated_smoothed,1007
new_people_vaccinated_smoothed_per_hundred,1007
stringency_index,582
extreme_poverty,1674
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
