,0
total_cases,1305
new_cases,1305
new_cases_smoothed,1305
total_deaths,1305
new_deaths,1305
new_deaths_smoothed,1305
total_cases_per_million,1305
new_cases_per_million,1305
new_cases_smoothed_per_million,1305
total_deaths_per_million,1305
new_deaths_per_million,1305
new_deaths_smoothed_per_million,1305
reproduction_rate,1305
icu_patients,158
icu_patients_per_million,158
hosp_patients,20
hosp_patients_per_million,20
weekly_icu_admissions,1305
weekly_icu_admissions_per_million,1305
weekly_hosp_admissions,386
weekly_hosp_admissions_per_million,386
total_tests,1305
new_tests,1305
total_tests_per_thousand,1305
new_tests_per_thousand,1305
new_tests_smoothed,1305
new_tests_smoothed_per_thousand,1305
positive_rate,1305
tests_per_case,1305
tests_units,1305
total_vaccinations,709
people_vaccinated,712
people_fully_vaccinated,713
total_boosters,985
new_vaccinations,713
new_vaccinations_smoothed,703
total_vaccinations_per_hundred,709
people_vaccinated_per_hundred,712
people_fully_vaccinated_per_hundred,713
total_boosters_per_hundred,985
new_vaccinations_smoothed_per_million,703
new_people_vaccinated_smoothed,696
new_people_vaccinated_smoothed_per_hundred,696
stringency_index,1305
population_density,1305
median_age,1305
aged_65_older,1305
aged_70_older,1305
gdp_per_capita,1305
extreme_poverty,1305
cardiovasc_death_rate,1305
diabetes_prevalence,1305
female_smokers,1305
male_smokers,1305
handwashing_facilities,1305
hospital_beds_per_thousand,1305
life_expectancy,1305
human_development_index,1305
excess_mortality_cumulative_absolute,1305
excess_mortality_cumulative,1305
excess_mortality,1305
excess_mortality_cumulative_per_million,1305
