,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,662
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,880
new_tests,880
total_tests_per_thousand,880
new_tests_per_thousand,880
new_tests_smoothed,883
new_tests_smoothed_per_thousand,883
positive_rate,884
tests_per_case,886
tests_units,876
total_vaccinations,1554
people_vaccinated,1549
people_fully_vaccinated,1612
total_boosters,1648
new_vaccinations,1613
new_vaccinations_smoothed,681
total_vaccinations_per_hundred,1554
people_vaccinated_per_hundred,1549
people_fully_vaccinated_per_hundred,1612
total_boosters_per_hundred,1648
new_vaccinations_smoothed_per_million,681
new_people_vaccinated_smoothed,681
new_people_vaccinated_smoothed_per_hundred,681
stringency_index,582
hospital_beds_per_thousand,1674
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
