,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,627
icu_patients,608
icu_patients_per_million,608
hosp_patients,1540
hosp_patients_per_million,1540
weekly_icu_admissions,1603
weekly_icu_admissions_per_million,1603
weekly_hosp_admissions,1203
weekly_hosp_admissions_per_million,1203
total_tests,815
new_tests,815
total_tests_per_thousand,815
new_tests_per_thousand,815
new_tests_smoothed,822
new_tests_smoothed_per_thousand,822
positive_rate,822
tests_per_case,822
tests_units,815
total_vaccinations,1020
people_vaccinated,854
people_fully_vaccinated,854
total_boosters,1020
new_vaccinations,1022
new_vaccinations_smoothed,1020
total_vaccinations_per_hundred,1020
people_vaccinated_per_hundred,854
people_fully_vaccinated_per_hundred,854
total_boosters_per_hundred,1020
new_vaccinations_smoothed_per_million,1020
new_people_vaccinated_smoothed,855
new_people_vaccinated_smoothed_per_hundred,855
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1478
excess_mortality_cumulative,1478
excess_mortality,1478
excess_mortality_cumulative_per_million,1478
