,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,734
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1454
new_tests,1454
total_tests_per_thousand,1454
new_tests_per_thousand,1454
new_tests_smoothed,992
new_tests_smoothed_per_thousand,992
positive_rate,1454
tests_per_case,1460
tests_units,985
total_vaccinations,1439
people_vaccinated,1440
people_fully_vaccinated,1463
total_boosters,1661
new_vaccinations,1512
new_vaccinations_smoothed,1219
total_vaccinations_per_hundred,1439
people_vaccinated_per_hundred,1440
people_fully_vaccinated_per_hundred,1463
total_boosters_per_hundred,1661
new_vaccinations_smoothed_per_million,1219
new_people_vaccinated_smoothed,1219
new_people_vaccinated_smoothed_per_hundred,1219
stringency_index,582
extreme_poverty,1674
excess_mortality_cumulative_absolute,1650
excess_mortality_cumulative,1650
excess_mortality,1650
excess_mortality_cumulative_per_million,1650
