,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,642
icu_patients,577
icu_patients_per_million,577
hosp_patients,189
hosp_patients_per_million,189
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,953
new_tests,953
total_tests_per_thousand,953
new_tests_per_thousand,953
new_tests_smoothed,960
new_tests_smoothed_per_thousand,960
positive_rate,960
tests_per_case,961
tests_units,953
total_vaccinations,1510
people_vaccinated,1560
people_fully_vaccinated,1561
total_boosters,1644
new_vaccinations,1673
new_vaccinations_smoothed,525
total_vaccinations_per_hundred,1510
people_vaccinated_per_hundred,1560
people_fully_vaccinated_per_hundred,1561
total_boosters_per_hundred,1644
new_vaccinations_smoothed_per_million,525
new_people_vaccinated_smoothed,869
new_people_vaccinated_smoothed_per_hundred,869
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1465
excess_mortality_cumulative,1465
excess_mortality,1465
excess_mortality_cumulative_per_million,1465
