,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,641
icu_patients,546
icu_patients_per_million,546
hosp_patients,546
hosp_patients_per_million,546
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,637
weekly_hosp_admissions_per_million,637
total_tests,915
new_tests,915
total_tests_per_thousand,915
new_tests_per_thousand,915
new_tests_smoothed,922
new_tests_smoothed_per_thousand,922
positive_rate,915
tests_per_case,915
tests_units,915
total_vaccinations,781
people_vaccinated,781
people_fully_vaccinated,1674
total_boosters,791
new_vaccinations,813
new_vaccinations_smoothed,750
total_vaccinations_per_hundred,781
people_vaccinated_per_hundred,781
people_fully_vaccinated_per_hundred,1674
total_boosters_per_hundred,791
new_vaccinations_smoothed_per_million,750
new_people_vaccinated_smoothed,750
new_people_vaccinated_smoothed_per_hundred,750
stringency_index,582
extreme_poverty,1674
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1465
excess_mortality_cumulative,1465
excess_mortality,1465
excess_mortality_cumulative_per_million,1465
