,0
total_cases,1348
new_cases,1348
new_cases_smoothed,1348
total_deaths,1348
new_deaths,1348
new_deaths_smoothed,1348
total_cases_per_million,1348
new_cases_per_million,1348
new_cases_smoothed_per_million,1348
total_deaths_per_million,1348
new_deaths_per_million,1348
new_deaths_smoothed_per_million,1348
reproduction_rate,328
icu_patients,1348
icu_patients_per_million,1348
hosp_patients,1348
hosp_patients_per_million,1348
weekly_icu_admissions,1348
weekly_icu_admissions_per_million,1348
weekly_hosp_admissions,1348
weekly_hosp_admissions_per_million,1348
total_tests,460
new_tests,460
total_tests_per_thousand,460
new_tests_per_thousand,460
new_tests_smoothed,466
new_tests_smoothed_per_thousand,466
positive_rate,473
tests_per_case,494
tests_units,459
total_vaccinations,764
people_vaccinated,769
people_fully_vaccinated,835
total_boosters,973
new_vaccinations,881
new_vaccinations_smoothed,431
total_vaccinations_per_hundred,764
people_vaccinated_per_hundred,769
people_fully_vaccinated_per_hundred,835
total_boosters_per_hundred,973
new_vaccinations_smoothed_per_million,431
new_people_vaccinated_smoothed,431
new_people_vaccinated_smoothed_per_hundred,431
stringency_index,267
population_density,1348
aged_65_older,1348
gdp_per_capita,1348
extreme_poverty,1348
diabetes_prevalence,1348
female_smokers,1348
male_smokers,1348
handwashing_facilities,1348
hospital_beds_per_thousand,1348
human_development_index,1348
excess_mortality_cumulative_absolute,1304
excess_mortality_cumulative,1304
excess_mortality,1304
excess_mortality_cumulative_per_million,1304
