,0
total_cases,1
new_cases,2
new_cases_smoothed,7
total_deaths,1
new_deaths,2
new_deaths_smoothed,7
total_cases_per_million,1
new_cases_per_million,2
new_cases_smoothed_per_million,7
total_deaths_per_million,1
new_deaths_per_million,2
new_deaths_smoothed_per_million,7
reproduction_rate,652
icu_patients,1675
icu_patients_per_million,1675
hosp_patients,1675
hosp_patients_per_million,1675
weekly_icu_admissions,1675
weekly_icu_admissions_per_million,1675
weekly_hosp_admissions,1675
weekly_hosp_admissions_per_million,1675
total_tests,793
new_tests,793
total_tests_per_thousand,793
new_tests_per_thousand,793
new_tests_smoothed,799
new_tests_smoothed_per_thousand,799
positive_rate,818
tests_per_case,819
tests_units,792
total_vaccinations,1140
people_vaccinated,1140
people_fully_vaccinated,1145
total_boosters,1269
new_vaccinations,1155
new_vaccinations_smoothed,1095
total_vaccinations_per_hundred,1140
people_vaccinated_per_hundred,1140
people_fully_vaccinated_per_hundred,1145
total_boosters_per_hundred,1269
new_vaccinations_smoothed_per_million,1095
new_people_vaccinated_smoothed,1095
new_people_vaccinated_smoothed_per_hundred,1095
stringency_index,582
excess_mortality_cumulative_absolute,1627
excess_mortality_cumulative,1627
excess_mortality,1627
excess_mortality_cumulative_per_million,1627
