,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,655
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,878
new_tests,878
total_tests_per_thousand,878
new_tests_per_thousand,878
new_tests_smoothed,885
new_tests_smoothed_per_thousand,885
positive_rate,886
tests_per_case,886
tests_units,878
total_vaccinations,1041
people_vaccinated,1071
people_fully_vaccinated,1071
total_boosters,1208
new_vaccinations,1056
new_vaccinations_smoothed,996
total_vaccinations_per_hundred,1041
people_vaccinated_per_hundred,1071
people_fully_vaccinated_per_hundred,1071
total_boosters_per_hundred,1208
new_vaccinations_smoothed_per_million,996
new_people_vaccinated_smoothed,1026
new_people_vaccinated_smoothed_per_hundred,1026
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1626
excess_mortality_cumulative,1626
excess_mortality,1626
excess_mortality_cumulative_per_million,1626
