,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,703
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1030
new_tests,1086
total_tests_per_thousand,1030
new_tests_per_thousand,1086
new_tests_smoothed,868
new_tests_smoothed_per_thousand,868
positive_rate,870
tests_per_case,882
tests_units,861
total_vaccinations,1534
people_vaccinated,1575
people_fully_vaccinated,1629
total_boosters,1652
new_vaccinations,1613
new_vaccinations_smoothed,864
total_vaccinations_per_hundred,1534
people_vaccinated_per_hundred,1575
people_fully_vaccinated_per_hundred,1629
total_boosters_per_hundred,1652
new_vaccinations_smoothed_per_million,864
new_people_vaccinated_smoothed,864
new_people_vaccinated_smoothed_per_hundred,864
stringency_index,582
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
