,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,654
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,828
new_tests,828
total_tests_per_thousand,828
new_tests_per_thousand,828
new_tests_smoothed,804
new_tests_smoothed_per_thousand,804
positive_rate,804
tests_per_case,804
tests_units,797
total_vaccinations,1299
people_vaccinated,1545
people_fully_vaccinated,1484
total_boosters,1526
new_vaccinations,1343
new_vaccinations_smoothed,1143
total_vaccinations_per_hundred,1299
people_vaccinated_per_hundred,1545
people_fully_vaccinated_per_hundred,1484
total_boosters_per_hundred,1526
new_vaccinations_smoothed_per_million,1143
new_people_vaccinated_smoothed,1148
new_people_vaccinated_smoothed_per_hundred,1148
stringency_index,582
extreme_poverty,1674
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1650
excess_mortality_cumulative,1650
excess_mortality,1650
excess_mortality_cumulative_per_million,1650
