,0
continent,1684
total_cases,10
new_cases,10
new_cases_smoothed,15
total_deaths,10
new_deaths,10
new_deaths_smoothed,15
total_cases_per_million,10
new_cases_per_million,10
new_cases_smoothed_per_million,15
total_deaths_per_million,10
new_deaths_per_million,10
new_deaths_smoothed_per_million,15
reproduction_rate,608
icu_patients,1684
icu_patients_per_million,1684
hosp_patients,1684
hosp_patients_per_million,1684
weekly_icu_admissions,1684
weekly_icu_admissions_per_million,1684
weekly_hosp_admissions,1684
weekly_hosp_admissions_per_million,1684
total_tests,1684
new_tests,1684
total_tests_per_thousand,1684
new_tests_per_thousand,1684
new_tests_smoothed,1684
new_tests_smoothed_per_thousand,1684
positive_rate,1684
tests_per_case,1684
tests_units,1684
total_vaccinations,332
people_vaccinated,332
people_fully_vaccinated,343
total_boosters,359
new_vaccinations,338
new_vaccinations_smoothed,338
total_vaccinations_per_hundred,332
people_vaccinated_per_hundred,332
people_fully_vaccinated_per_hundred,343
total_boosters_per_hundred,359
new_vaccinations_smoothed_per_million,338
new_people_vaccinated_smoothed,338
new_people_vaccinated_smoothed_per_hundred,338
stringency_index,1684
excess_mortality_cumulative_absolute,1684
excess_mortality_cumulative,1684
excess_mortality,1684
excess_mortality_cumulative_per_million,1684
