,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,697
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,890
new_tests,916
total_tests_per_thousand,890
new_tests_per_thousand,916
new_tests_smoothed,862
new_tests_smoothed_per_thousand,862
positive_rate,862
tests_per_case,866
tests_units,855
total_vaccinations,1417
people_vaccinated,1568
people_fully_vaccinated,1444
total_boosters,1671
new_vaccinations,1537
new_vaccinations_smoothed,906
total_vaccinations_per_hundred,1417
people_vaccinated_per_hundred,1568
people_fully_vaccinated_per_hundred,1444
total_boosters_per_hundred,1671
new_vaccinations_smoothed_per_million,906
new_people_vaccinated_smoothed,872
new_people_vaccinated_smoothed_per_hundred,872
stringency_index,582
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
