,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,657
icu_patients,850
icu_patients_per_million,850
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1673
new_tests,1674
total_tests_per_thousand,1673
new_tests_per_thousand,1674
new_tests_smoothed,1674
new_tests_smoothed_per_thousand,1674
positive_rate,1674
tests_per_case,1674
tests_units,1673
total_vaccinations,1646
people_vaccinated,1647
people_fully_vaccinated,1651
total_boosters,1663
new_vaccinations,1671
new_vaccinations_smoothed,1091
total_vaccinations_per_hundred,1646
people_vaccinated_per_hundred,1647
people_fully_vaccinated_per_hundred,1651
total_boosters_per_hundred,1663
new_vaccinations_smoothed_per_million,1091
new_people_vaccinated_smoothed,1091
new_people_vaccinated_smoothed_per_hundred,1091
stringency_index,582
excess_mortality_cumulative_absolute,1626
excess_mortality_cumulative,1626
excess_mortality,1626
excess_mortality_cumulative_per_million,1626
